product_id,product_name,supplier_name,rank,sept_avg_daily_sales,sept_stock,oct_avg_daily_sales,oct_actual_sales,current_order_per_cycle,current_total_order,current_oct_end_stock,current_stockout,moderate_order_per_cycle,moderate_total_order,moderate_oct_end_stock,moderate_stockout,cost,current_stock_value,moderate_stock_value
1540,玄米五目ごはん 160g,A.ゆうき八百屋,E,0.07,7,0.1,3.1,0.0,0.0,3.9,False,0.0,0.0,3.9,False,189,737.0,737.0
1563,有機玄米粥 200g,A.ゆうき八百屋,E,0.14,7,0.03,0.9,0.0,0.0,6.1,False,0.0,0.0,6.1,False,140,850.0,850.0
1564,小豆の水煮 230g,A.ゆうき八百屋,D,0.21,4,0.17,5.3,0.0,0.0,-1.3,True,0.0,0.0,-1.3,True,182,0.0,0.0
8912,石橋の菜種油(菜種サラダ油) 910g,A.ゆうき八百屋,C,0.07,5,0.0,0.0,0.0,0.0,5.0,False,0.0,0.0,5.0,False,952,4760.0,4760.0
10675,オーガニックとんかつソース 200ml,A.ゆうき八百屋,E,0.07,3,0.03,0.9,0.0,0.0,2.1,False,0.0,0.0,2.1,False,290,600.0,600.0
8907,オーガニックウスターソース 200ml,A.ゆうき八百屋,E,0.07,4,0.0,0.0,0.0,0.0,4.0,False,0.0,0.0,4.0,False,290,1160.0,1160.0
7520,海の精あらしお 240g,A.ゆうき八百屋,B,0.29,9,0.0,0.0,0.0,0.0,9.0,False,0.0,0.0,9.0,False,420,3780.0,3780.0
1890,濃厚にがり液 海の調べ 50ml,A.ゆうき八百屋,B,0.43,6,0.13,4.0,0.0,0.0,2.0,False,0.0,0.0,2.0,False,260,512.0,512.0
1900,有機塩麹170g,A.ゆうき八百屋,A,0.5,6,0.6,18.6,0.0,0.0,-12.6,True,0.5,2.0,-10.6,True,420,0.0,0.0
7988,黒糖かりん 32g,A.ゆうき八百屋,E,0.07,3,0.0,0.0,0.0,0.0,3.0,False,0.0,0.0,3.0,False,220,660.0,660.0
7064,龍馬1865(ノンアルコールビール) 350ml,A.ゆうき八百屋,C,0.57,7,0.0,0.0,0.0,0.0,7.0,False,0.0,0.0,7.0,False,99,693.0,693.0
13692,龍馬LEMON (ノンアルコールビール)350ml,A.ゆうき八百屋,C,0.71,27,0.23,7.1,0.0,0.0,19.9,False,0.0,0.0,19.9,False,105,2086.0,2086.0
1468,チャイパック 3gx12,A.ゆうき八百屋,C,0.21,3,0.03,0.9,0.0,0.0,2.1,False,0.0,0.0,2.1,False,322,667.0,667.0
5586,カシューナッツカレー味 60g,A.ゆうき八百屋,C,0.21,5,0.17,5.3,0.0,0.0,-0.3,True,0.0,0.0,-0.3,True,385,0.0,0.0
6066,ドライフルーツナッツミックス 90g,A.ゆうき八百屋,B,0.43,5,0.4,12.4,0.0,0.0,-7.4,True,0.0,0.0,-7.4,True,406,0.0,0.0
9339709006903,出雲国のほうじ番茶 150g,A.ゆうき八百屋,E,0.07,4,0.0,0.0,0.0,0.0,4.0,False,0.0,0.0,4.0,False,294,1176.0,1176.0
10652,出雲国の紅茶 ティーバッグ2g×15,A.ゆうき八百屋,D,0.14,3,0.1,3.1,0.0,0.0,-0.1,True,0.0,0.0,-0.1,True,280,0.0,0.0
14184,黒糖くるみ 65g,A.ゆうき八百屋,D,0.14,2,0.07,2.2,0.0,0.0,-0.2,True,0.0,0.0,-0.2,True,322,0.0,0.0
9352218002446,ココアパウダー 110g,A.ゆうき八百屋,A,0.36,8,0.0,0.0,0.0,0.0,8.0,False,0.0,0.0,8.0,False,462,3696.0,3696.0
9352218005699,カレーの壺 オリジナル 200g ,A.ゆうき八百屋,C,0.14,3,0.0,0.0,0.0,0.0,3.0,False,0.0,0.0,3.0,False,455,1365.0,1365.0
12994,季穂地粉 薄力粉 500g,A.ゆうき八百屋,B,0.36,11,0.47,14.6,0.0,0.0,-3.6,True,0.0,0.0,-3.6,True,266,0.0,0.0
13518,季穂 強力粉 500g,A.ゆうき八百屋,D,0.14,6,0.3,9.3,0.0,0.0,-3.3,True,0.0,0.0,-3.3,True,266,0.0,0.0
13550,季穂 全粒粉 500g,A.ゆうき八百屋,B,0.5,7,0.13,4.0,0.0,0.0,3.0,False,0.0,0.0,3.0,False,265,787.0,787.0
2107,特選そば 十割(乾麺) 200g,A.ゆうき八百屋,E,0.07,8,0.07,2.2,0.0,0.0,5.8,False,0.0,0.0,5.8,False,337,1965.0,1965.0
