period,prediction_date,product_id,product_name,predicted,actual,avg_daily_sales,rank,lookback_days,forecast_days
2,2026-01-15,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
2,2026-01-15,9352218004438,ANASSA 4種お試しセット ,0.0,0,0.0,E,14,7
2,2026-01-15,9352218006697,かぶら寿司 1枚入,1.5,0,0.21,B,14,7
2,2026-01-15,12033,六条大麦茶 500g,0.0,0,0.0,E,14,7
2,2026-01-15,1894,奥能登海水塩  200g,0.0,0,0.0,E,14,7
2,2026-01-15,14146,ピュアシメトリー 40g,0.0,0,0.0,E,14,7
2,2026-01-15,14145,ピュアハピネス 20g,0.0,0,0.0,E,14,7
2,2026-01-15,14147,ピュアピース 30g,0.0,0,0.0,E,14,7
2,2026-01-15,14149,ピュアディフェンス  30g,0.0,0,0.0,E,14,7
2,2026-01-15,14155,ピュアハピネス 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14157,ピュアピース 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14156,ピュアシメトリー 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14159,ピュアプロテクション  10袋,0.0,0,0.0,E,14,7
2,2026-01-15,9352218001922,マウンテンティー 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14163,カモミール 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,14161,ミント 10袋,0.0,0,0.0,E,14,7
2,2026-01-15,13373,おこっぺ有機スモークチーズ 80g,4.5,1,0.64,A,14,7
2,2026-01-15,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,0.5,3,0.07,E,14,7
2,2026-01-15,11584,オホーツクおこっぺ有機牛乳 180ml,6.0,12,0.86,C,14,7
2,2026-01-15,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,4.0,3,0.57,D,14,7
2,2026-01-15,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
2,2026-01-15,11828,おこっぺ有機チーズモッツァレラ 100g,0.0,2,0.0,E,14,7
2,2026-01-15,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
2,2026-01-15,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
2,2026-01-15,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
2,2026-01-15,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
2,2026-01-15,11589,おこっぺバタークリームケーキ 1個,0.0,5,0.0,E,14,7
2,2026-01-15,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
2,2026-01-15,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,7.0,19,1.0,B,14,7
2,2026-01-15,13406,おこっぺ季節の有機セミハードチーズ 80g,2.5,3,0.36,C,14,7
2,2026-01-15,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
2,2026-01-15,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
2,2026-01-15,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
2,2026-01-15,13372,おこっぺ有機ゴーダチーズ 80g,1.5,0,0.21,D,14,7
2,2026-01-15,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
2,2026-01-15,13587,出来立てモッツァレラ 100g,0.0,0,0.0,E,14,7
2,2026-01-15,13588,出来立てリコッタ 100g,0.0,0,0.0,E,14,7
2,2026-01-15,13590,CS カチョカヴァッロ,0.0,0,0.0,E,14,7
2,2026-01-15,13589,東京ブッラータ 150g,0.0,0,0.0,E,14,7
2,2026-01-15,13635,さけるモッツァレラ(クラタペッパー) 100g,6.0,4,0.86,A,14,7
2,2026-01-15,15761,さけるモッツァレラ(山椒) 100g,0.0,0,0.0,E,14,7
2,2026-01-15,9352218002813,CRACKERS チーズのOTOMO 20枚,0.0,0,0.0,E,14,7
2,2026-01-15,15665,東京白カビチーズ 90g,0.0,0,0.0,E,14,7
2,2026-01-15,15666,東京白やなぎ 90g,0.0,0,0.0,E,14,7
2,2026-01-15,9339709006934,東京セミハードチーズ 100g,0.0,0,0.0,E,14,7
2,2026-01-15,15667,東京ブラウンチーズ 110g,0.0,0,0.0,E,14,7
2,2026-01-15,9339709006810,ホエイジャム 200g,0.0,0,0.0,E,14,7
2,2026-01-15,9339709006935,セミハードチーズのオイル漬け 100g,0.0,0,0.0,E,14,7
2,2026-01-15,16097,レモングラスブッラータ 150g,0.0,0,0.0,E,14,7
2,2026-01-15,9352218004714,さけるモッツァレラ(プレーン) 100g,0.5,2,0.07,E,14,7
3,2026-01-08,2105,オーガニック能登そば 100gx2,19.5,0,2.79,A,14,7
3,2026-01-08,1238,オーガニック玄米もち 黒豆 300g,7.5,0,1.07,B,14,7
3,2026-01-08,14716,オーガニック玄米もち プレーン 300g,7.0,3,1.0,B,14,7
3,2026-01-08,2115,有機きな粉 80g,6.0,0,0.86,D,14,7
3,2026-01-08,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
3,2026-01-08,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
3,2026-01-08,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
3,2026-01-08,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
3,2026-01-08,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
3,2026-01-08,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
