productId,productName,supplierName,rank,unitPrice,sepEndStock,avgDailySales,currentOrder,rankOrder,coefficient,octSales,currentOctEnd,rankOctEnd,currentStockout,rankStockout
9352218002644,ビオルグ 有機オートミール 500g,A.ゆうき八百屋,E,980,0,0.0,0,0,0.6,0,0,0,False,False
9352218002979,有機クールフルーツ アップル・マンゴー・パイナップル 90g,A.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
9352218002978,有機クールフルーツ アップル・洋なし 90g,A.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
9352218002975,有機クールフルーツ アップル 90g,A.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
9352218002977,有機クールフルーツ アップル・ピーチ・アプリコット 90g,A.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
9352218002976,有機クールフルーツ アップル・ストロベリー・ブルーベリー 90g,A.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
7356,ゲランドの塩 細粒塩 500g,A.ゆうき八百屋,C,1150,5,0.13,0,0,1.0,8,0,0,True,True
10748,ゲランドの塩 細粒塩(容器入) 125g,A.ゆうき八百屋,B,890,3,0.2,0,0,1.15,4,0,0,True,True
13053,ゲランドの塩 粗塩 800g,A.ゆうき八百屋,D,820,3,0.1,0,0,0.8,0,3,3,False,False
9352218002031,大江戸日本橋かつお昆布佃煮(ビン) 60g,A.ゆうき八百屋,E,520,0,0.0,0,0,0.6,0,0,0,False,False
198,天然わかめ(塩蔵) 200g,A.ゆうき八百屋,B,590,5,0.33,0,0,1.15,10,0,0,True,True
3702,宇和島のひじき 40g,A.ゆうき八百屋,E,499,0,0.0,0,0,0.6,0,0,0,False,False
10487,無茶々園のやわらか赤梅干 150g,A.ゆうき八百屋,E,690,0,0.0,0,0,0.6,0,0,0,False,False
511,無茶々園の切り干しにんじん 30g,A.ゆうき八百屋,E,320,0,0.0,0,0,0.6,0,0,0,False,False
5809,温州みかんジュース 180ml,A.ゆうき八百屋,E,380,0,0.0,0,0,0.6,0,0,0,False,False
5808,ジューシーフルーツ(河内晩柑)ジュース 180ml,A.ゆうき八百屋,E,380,0,0.0,0,0,0.6,0,0,0,False,False
5589,温州みかんジュース 720ml,A.ゆうき八百屋,E,1150,0,0.0,0,0,0.6,0,0,0,False,False
5590,伊予柑ジュース 720ml,A.ゆうき八百屋,E,890,0,0.0,0,0,0.6,0,0,0,False,False
10699,甘夏ジュース 720ml,A.ゆうき八百屋,E,1260,0,0.0,0,0,0.6,0,0,0,False,False
5933,ジューシーフルーツ(河内晩柑)ジュース 720ｍl,A.ゆうき八百屋,C,1260,4,0.13,0,0,1.0,3,1,1,False,False
7433,青みかんストレート果汁 150ml,A.ゆうき八百屋,E,540,2,0.0,0,0,0.6,1,1,1,False,False
11521,温州みかん&伊予柑 720ml,A.ゆうき八百屋,E,880,0,0.0,0,0,0.6,0,0,0,False,False
6213,無茶々園のドライトマト 20g,A.ゆうき八百屋,E,390,0,0.0,0,0,0.6,0,0,0,False,False
6212,無茶々園の乾燥ごぼう 20g,A.ゆうき八百屋,E,320,0,0.0,0,0,0.6,0,0,0,False,False
12357,伊予柑マーマレード 220g,A.ゆうき八百屋,E,680,2,0.0,0,0,0.6,4,0,0,True,True
13709,夏のジューシーフルーツ(河内晩柑)ジュース 720ｍl,A.ゆうき八百屋,E,1020,0,0.0,0,0,0.6,0,0,0,False,False
9352218004799,無茶々園の有機切り干し人参 25g,A.ゆうき八百屋,E,340,0,0.0,0,0,0.6,0,0,0,False,False
9352218004796,無茶々園の有機ドライトマト 15g,A.ゆうき八百屋,E,340,0,0.0,0,0,0.6,0,0,0,False,False
